step,time,max_queue,avg_speed,total_waiting_time,vehicle_count
118,1767763947.036201,4,6.721835596286859,1169.0,144
119,1767763947.3978226,4,6.7768085922791625,1234.0,144
120,1767763947.779276,4,6.388782685393793,1300.0,153
121,1767763948.1403027,4,6.360640503501132,1367.0,153
122,1767763948.4971323,4,6.404773013143711,1435.0,153
123,1767763948.825962,4,6.45660153254577,1505.0,153
124,1767763949.1868796,4,6.37120774941508,1576.0,156
125,1767763949.6099687,4,6.388394124538905,1648.0,158
126,1767763949.955909,4,6.461946076034107,1718.0,157
127,1767763950.3109732,4,6.396039108500574,1789.0,156
128,1767763950.659772,4,6.336572144042467,1863.0,158
129,1767763951.0219162,4,6.397384755386832,1939.0,160
130,1767763951.4088972,4,6.494428069832177,2016.0,160
131,1767763951.7533684,4,6.321695319101674,2093.0,159
132,1767763952.0945494,4,6.210621032503011,2170.0,161
133,1767763952.4121408,4,6.109848852723703,2247.0,160
134,1767763952.7611365,4,5.769405540427433,2325.0,159
135,1767763953.1534514,4,5.774601489837925,1041.0,161
136,1767763953.5718477,2,6.095167836096707,272.0,161
137,1767763953.8979752,1,6.673100856206683,60.0,161
138,1767763954.2235043,1,7.303533007598508,23.0,160
139,1767763954.6204822,2,7.944973832154468,37.0,162
140,1767763954.9930153,2,8.770373008492868,50.0,162
141,1767763955.3767335,2,9.401239777067312,70.0,162
142,1767763955.689652,2,9.739145670756292,91.0,163
143,1767763956.0087237,2,9.971698493605677,115.0,164
144,1767763956.4139366,2,9.712525494358912,137.0,169
145,1767763956.7657833,2,9.75151121728579,163.0,169
146,1767763957.120598,2,9.817208784912053,192.0,168
147,1767763957.447204,2,9.598828281673493,222.0,170
148,1767763957.7716966,2,9.570144957140618,252.0,168
149,1767763958.1523197,2,9.614915102833393,285.0,167
150,1767763958.5600595,2,9.419574545783382,319.0,165
151,1767763958.89153,2,9.382979361044875,356.0,163
152,1767763959.2147503,2,9.346885645724033,395.0,163
153,1767763959.59376,2,9.132923915842127,435.0,166
154,1767763959.9793966,2,9.111673061626707,476.0,166
155,1767763960.389088,3,8.92659285877345,519.0,167
156,1767763960.7149713,2,8.840957253316907,563.0,169
157,1767763961.0509467,2,8.939265077858924,608.0,167
158,1767763961.409649,2,8.822247043882367,647.0,167
159,1767763961.7861466,2,8.6472524523878,688.0,163
160,1767763962.1532106,3,8.392655217664116,731.0,160
161,1767763962.5027702,2,8.217882091518641,776.0,155
162,1767763962.8252058,2,8.135277133776857,822.0,151
163,1767763963.1818845,2,8.203432004833887,872.0,151
164,1767763963.5904303,2,8.107848556542809,922.0,152
165,1767763963.9465973,3,7.963761466864102,973.0,153
166,1767763964.2586455,2,8.06714985612137,1024.0,153
167,1767763964.6051364,2,7.977149028749688,1072.0,155
168,1767763964.9441252,3,7.78650977850351,1125.0,160
169,1767763965.353746,3,7.772692315556012,1179.0,162
170,1767763965.6948524,3,7.904865100312746,1233.0,162
171,1767763966.0323036,3,8.096572219749696,1287.0,162
172,1767763966.4149826,3,8.153040839445122,1341.0,162
173,1767763966.8170853,3,8.141411423016004,1396.0,163
174,1767763967.1992617,3,8.17842504001146,1451.0,162
175,1767763967.562816,4,8.045560119911512,1506.0,162
176,1767763967.8916335,3,7.9779590803310905,1563.0,162
177,1767763968.216455,3,7.850858649799487,1621.0,160
178,1767763968.6644595,3,7.573445933611815,1679.0,159
179,1767763969.0220778,3,7.325658451555664,1738.0,158
180,1767763969.3982651,2,6.734013757904335,551.0,167
181,1767763969.7192507,1,7.034006786972369,29.0,165
182,1767763970.0670118,1,7.507806226937014,11.0,164
183,1767763970.4422464,1,7.936363785816254,23.0,162
184,1767763970.8029132,2,8.322151686888725,38.0,162
185,1767763971.1431825,2,8.77434739028366,53.0,162
186,1767763971.472294,3,9.041892476893338,74.0,164
187,1767763971.8115153,4,9.331336966729008,103.0,164
188,1767763972.1865497,4,9.500619091936569,137.0,164
189,1767763972.57882,4,9.380265048101249,174.0,164
190,1767763972.9082456,4,9.233169935999753,213.0,163
191,1767763973.2547991,4,9.010392158645544,254.0,160
192,1767763973.6438508,4,8.773556435272978,299.0,162
193,1767763974.0385642,4,8.623588941077763,347.0,164
194,1767763974.4361613,4,8.313210036510718,395.0,161
195,1767763974.805609,4,8.319792102671913,443.0,161
196,1767763975.2509496,4,8.270998369662262,492.0,161
197,1767763975.709263,4,8.075256789854578,542.0,161
198,1767763976.2019491,4,8.06509108764277,592.0,161
199,1767763976.5599756,4,8.084072234598155,646.0,161
200,1767763976.8901975,4,7.906107693535763,701.0,163
201,1767763977.6251225,4,7.730800969148985,758.0,161
202,1767763978.0795226,4,8.545924569144328,758.0,360
217,1767763984.478444,4,8.551186483703871,1765.0,360
232,1767763989.828872,2,8.57789550370408,56.0,360
247,1767763992.9601831,3,8.673953320958146,534.0,360
262,1767763995.9513543,3,8.561220048559635,1267.0,360
277,1767764000.0714712,2,8.713799681047876,72.0,360
292,1767764005.3415854,4,8.436762313850354,702.0,360
307,1767764009.9762478,3,8.93479646654036,264.0,360
322,1767764013.8064897,4,8.56453201778726,1032.0,360
