Mode,Congestion,Run_ID,EV_Travel_Time_sec,Civilian_Delay_sec
Baseline,Low,1,116.25,101.02711801242236
EVPS,Low,1,92.5,100.19787577639752
Baseline,Medium,1,130.11111111111111,111.66190854870776
EVPS,Medium,1,105.88888888888889,112.27555666003975
Baseline,High,1,207.94444444444446,180.62353218990802
EVPS,High,1,168.55555555555554,173.32941585881184
